Time,Float_Position,Float_Angle,Posit_Position,Posit_Angle,Quire_Position,Quire_Angle
0,0,0.05,0,0.05,0,0.05
0.02,0,0.05,0,0.05,0,0.05
0.04,-0.000458789,0.0489236,-0.000458789,0.0489236,-0.000458789,0.0489236
0.06,-0.00129355,0.0470444,-0.00129355,0.0470444,-0.00129355,0.0470444
0.08,-0.00243428,0.0445839,-0.00243428,0.0445839,-0.00243428,0.0445839
0.1,-0.0038219,0.0417204,-0.0038219,0.0417204,-0.0038219,0.0417204
0.12,-0.00540661,0.0385967,-0.00540661,0.0385967,-0.00540661,0.0385967
0.14,-0.00714647,0.0353257,-0.00714647,0.0353257,-0.00714647,0.0353257
0.16,-0.0090062,0.0319961,-0.0090062,0.0319961,-0.0090062,0.0319961
0.18,-0.0109562,0.0286766,-0.0109562,0.0286766,-0.0109562,0.0286766
0.2,-0.0129717,0.0254195,-0.0129717,0.0254195,-0.0129717,0.0254195
0.22,-0.015032,0.0222639,-0.015032,0.0222639,-0.015032,0.0222639
0.24,-0.0171197,0.0192378,-0.0171197,0.0192378,-0.0171197,0.0192378
0.26,-0.0192205,0.0163609,-0.0192205,0.016361,-0.0192205,0.0163609
0.28,-0.0213224,0.0136458,-0.0213224,0.0136458,-0.0213224,0.0136458
0.3,-0.0234155,0.0110994,-0.0234155,0.0110994,-0.0234155,0.0110994
0.32,-0.0254918,0.00872461,-0.0254918,0.00872461,-0.0254918,0.00872461
0.34,-0.0275445,0.00652084,-0.0275445,0.00652083,-0.0275445,0.00652083
0.36,-0.0295682,0.00448497,-0.0295682,0.00448497,-0.0295682,0.00448497
0.38,-0.0315586,0.00261202,-0.0315586,0.00261201,-0.0315586,0.00261201
0.4,-0.0335121,0.00089561,-0.0335121,0.000895608,-0.0335121,0.000895608
0.42,-0.0354259,-0.000671556,-0.0354259,-0.000671558,-0.0354259,-0.000671558
0.44,-0.0372978,-0.0020974,-0.0372978,-0.0020974,-0.0372978,-0.0020974
0.46,-0.0391261,-0.00339017,-0.0391261,-0.00339017,-0.0391261,-0.00339017
0.48,-0.0409095,-0.00455825,-0.0409095,-0.00455825,-0.0409095,-0.00455825
0.5,-0.0426472,-0.00561,-0.0426472,-0.00561001,-0.0426472,-0.00561001
0.52,-0.0443385,-0.00655362,-0.0443385,-0.00655363,-0.0443385,-0.00655363
0.54,-0.045983,-0.00739706,-0.045983,-0.00739706,-0.045983,-0.00739706
0.56,-0.0475805,-0.00814795,-0.0475805,-0.00814795,-0.0475805,-0.00814795
0.58,-0.049131,-0.00881357,-0.049131,-0.00881357,-0.049131,-0.00881357
0.6,-0.0506346,-0.00940082,-0.0506346,-0.00940082,-0.0506346,-0.00940082
0.62,-0.0520914,-0.00991618,-0.0520914,-0.00991619,-0.0520914,-0.00991619
0.64,-0.0535019,-0.0103657,-0.0535019,-0.0103657,-0.0535019,-0.0103657
0.66,-0.0548663,-0.0107552,-0.0548663,-0.0107552,-0.0548663,-0.0107552
0.68,-0.056185,-0.0110897,-0.056185,-0.0110897,-0.056185,-0.0110897
0.7,-0.0574586,-0.0113743,-0.0574586,-0.0113743,-0.0574586,-0.0113743
0.72,-0.0586876,-0.0116134,-0.0586876,-0.0116134,-0.0586876,-0.0116134
0.74,-0.0598723,-0.0118112,-0.0598724,-0.0118112,-0.0598724,-0.0118112
0.76,-0.0610135,-0.0119715,-0.0610136,-0.0119715,-0.0610136,-0.0119715
0.78,-0.0621117,-0.0120978,-0.0621117,-0.0120978,-0.0621117,-0.0120978
0.8,-0.0631675,-0.0121934,-0.0631675,-0.0121934,-0.0631675,-0.0121934
0.82,-0.0641813,-0.0122611,-0.0641813,-0.0122611,-0.0641813,-0.0122611
0.84,-0.0651539,-0.0123036,-0.0651539,-0.0123036,-0.0651539,-0.0123036
0.86,-0.0660858,-0.0123235,-0.0660858,-0.0123235,-0.0660858,-0.0123235
0.88,-0.0669776,-0.0123228,-0.0669776,-0.0123228,-0.0669776,-0.0123228
0.9,-0.0678299,-0.0123037,-0.0678299,-0.0123037,-0.0678299,-0.0123037
0.92,-0.0686432,-0.012268,-0.0686433,-0.012268,-0.0686433,-0.012268
0.94,-0.0694183,-0.0122173,-0.0694183,-0.0122173,-0.0694183,-0.0122173
0.96,-0.0701556,-0.0121532,-0.0701556,-0.0121532,-0.0701556,-0.0121532
0.98,-0.0708558,-0.0120771,-0.0708558,-0.0120771,-0.0708558,-0.0120771
1,-0.0715194,-0.0119901,-0.0715194,-0.0119901,-0.0715194,-0.0119901
1.02,-0.072147,-0.0118934,-0.072147,-0.0118934,-0.072147,-0.0118934
1.04,-0.0727392,-0.0117881,-0.0727392,-0.0117881,-0.0727392,-0.0117881
1.06,-0.0732966,-0.011675,-0.0732966,-0.011675,-0.0732966,-0.011675
1.08,-0.0738196,-0.011555,-0.0738196,-0.011555,-0.0738196,-0.011555
1.1,-0.074309,-0.0114289,-0.074309,-0.0114289,-0.074309,-0.0114289
1.12,-0.0747652,-0.0112973,-0.0747652,-0.0112973,-0.0747652,-0.0112973
1.14,-0.0751888,-0.0111609,-0.0751888,-0.0111609,-0.0751888,-0.0111609
1.16,-0.0755803,-0.0110202,-0.0755803,-0.0110202,-0.0755803,-0.0110202
1.18,-0.0759404,-0.0108757,-0.0759404,-0.0108757,-0.0759404,-0.0108757
1.2,-0.0762694,-0.0107279,-0.0762694,-0.0107279,-0.0762694,-0.0107279
1.22,-0.0765681,-0.0105773,-0.0765681,-0.0105773,-0.0765681,-0.0105773
1.24,-0.0768369,-0.0104241,-0.0768369,-0.0104241,-0.0768369,-0.0104241
1.26,-0.0770764,-0.0102687,-0.0770763,-0.0102687,-0.0770763,-0.0102687
1.28,-0.077287,-0.0101114,-0.077287,-0.0101114,-0.077287,-0.0101114
1.3,-0.0774694,-0.0099526,-0.0774693,-0.0099526,-0.0774693,-0.0099526
